,Procurement,Industry,Company,Time,Results
0,Procurement of 0704-2340JDCP1895 Dongfang 13-2 CEPB compressor module project(1),Machining,"CNCCC International Tendering Co.,Ltd. entrusted by the purchaser, invites sealed bids from eligible suppliers home and abroad for the supply of the following goods and/or service by way of International Competitive Bidding. The tender notice was released on www.chinabidding....",2023-08-23,New Tenders
1,Procurement of 4197-2240XAESW002/18 Silicon Industrial Base Phase II Project of Xi'an ESWIN(2),Others ,"Project Name:Silicon Industrial Base Phase II Project of Xi'an ESWINBidding NO  :****-****XAESW***/**Bidding Content:Double side Fine GrindingBidding Agency:China Electronics Commerce (Beijing) Co., LtdPurchasers:XI'AN XINSEMI MATERIAL TECHNOLOGY CO.,LTD.Open-Time of Bids:***...",2023-08-23,Tender Awards
2,Procurement of 0613-234024103936 Ultra high definition open surgery fluorescent camera(1),Medical equipment & medicine,"Shanghai Machinery & Electric Equipment Tendering Co.,Ltd. entrusted by the purchaser, invites sealed bids from eligible suppliers home and abroad for the supply of the following goods and/or service by way of International Competitive Bidding. The tender notice was released ...",2023-08-23,New Tenders
3,Procurement of 0811-234DSITC1756 X-ray residual stress analyzer(1),Apparatus and Meter,"Shanghai Dongsong Healthcare & Technology Co.,Ltd. entrusted by the purchaser, invites sealed bids from eligible suppliers home and abroad for the supply of the following goods and/or service by way of International Competitive Bidding. The tender notice was released on www.c...",2023-08-23,New Tenders
4,Procurement of 2051-234111010419 ShanghaiTech University has a built-in high-precision continuous ultra-thin section imaging system(2),Apparatus and Meter,Project Name:ShanghaiTech University has a built-in high-precision continuous ultra-thin section imaging systemBidding NO  :****-************Bidding Content:Built-in high-precision continuous ultra-thin section imaging system * setBidding Agency:Shanghai Education Constructio...,2023-08-23,Tender Awards
5,"Procurement of 4679-234230811428 Beijing Tianma intelligent control technology Co., LTD. Three coordinate measuring instrument(2)",Apparatus and Meter,"CCTEG COAL INDUSTRY PLANNING INSTITUTE entrusted by the purchaser, invites sealed bids from eligible suppliers home and abroad for the supply of the following goods and/or service by way of International Competitive Bidding. The tender notice was released on www.chinabidding....",2023-08-23,New Tenders
6,Procurement of 1708-23410460058A Purchase of body reflection Confocal microscopy by Pediatric Research Institute of Chongqing Medical University(1),Apparatus and Meter,Project Name:Purchase of body reflection Confocal microscopy by Pediatric Research Institute of Chongqing Medical UniversityBidding NO  :****-***********ABidding Content:In vivo reflection Confocal microscopy*tableBidding Agency:Chongqing Government Procurement CenterPurchase...,2023-08-23,Tender Awards
7,Procurement of 0811-234DSITC1840 Extracorporeal shock wave cardiovascular treatment system(1),Medical equipment & medicine,"Shanghai Dongsong Healthcare & Technology Co.,Ltd. entrusted by the purchaser, invites sealed bids from eligible suppliers home and abroad for the supply of the following goods and/or service by way of International Competitive Bidding. The tender notice was released on www.c...",2023-08-23,New Tenders
8,Procurement of 0712-234042303024 North China Oil and Gas East Sheng extraction helium project gas chromatography 3 sets(1),Apparatus and Meter,"Project Name:North China Oil and Gas East Sheng extraction helium project gas chromatography * setsBidding NO  :****-************Bidding Content:Material purchaseBidding Agency:Sinopec International Co.,Ltd.Purchasers:China Petrochemical International Co.,Ltd.Open-Time of Bid...",2023-08-23,Evaluation Results
9,"Procurement of 0612-2340H1771334 Shenzhen Metro Line 5 West Extension Project, Line 8 Phase III Project, and Line 16 Phase II Signal System Equipment Procurement Project(1)",Apparatus and Meter,"Guangdong provincial Machinery & Electric Equipment Tendering Corporation Limited entrusted by the purchaser, invites sealed bids from eligible suppliers home and abroad for the supply of the following goods and/or service by way of International Competitive Bidding. The tend...",2023-08-23,New Tenders
10,Procurement of 0612-2340H1781334 Procurement Project of Signal System Equipment for Shenzhen Metro Line 7 Phase II and Onboard Signal System Equipment for Additional Trains on Line 7(1),Apparatus and Meter,"Guangdong provincial Machinery & Electric Equipment Tendering Corporation Limited entrusted by the purchaser, invites sealed bids from eligible suppliers home and abroad for the supply of the following goods and/or service by way of International Competitive Bidding. The tend...",2023-08-23,New Tenders
11,Procurement of 0753-234023216001 Five axis machining center(1),Machining,"Project Name:Five axis machining centerBidding NO  :****-************Bidding Content:Five axis machining center * setBidding Agency:CHINA STATE SHIPBUILDING EQUIPMENT AND MATERIALS CORPORATION LIMITEDPurchasers:China Shipbuilding & Offshore International Co., Ltd.Open-Time of...",2023-08-23,Tender Awards
12,Procurement of 1708-23410460061A Procurement of color Doppler ultrasound diagnostic equipment of the Second Affiliated Hospital of Chongqing Medical University(1),Medical equipment & medicine,Project Name:Procurement of color Doppler ultrasound diagnostic equipment of the Second Affiliated Hospital of Chongqing Medical UniversityBidding NO  :****-***********ABidding Content:* batch of color Doppler ultrasound diagnostic equipmentBidding Agency:Chongqing Government...,2023-08-23,Evaluation Results
13,Procurement of 1825-234A20231519 EYE AND ENT HOSPITAL OF FUDAN UNIVERSITY Optical coherence tomography scanner procurement project(1),Medical equipment & medicine,"Project Name:EYE AND ENT HOSPITAL OF FUDAN UNIVERSITY Optical coherence tomography scanner procurement projectBidding NO  :****-***A********Bidding Content:* optical coherence tomography scannerBidding Agency:SHANGHAI CAI RUI CONSTRUCTION MANAGEMENT.CO.,LTDPurchasers:EYE AND ...",2023-08-23,Evaluation Results
14,Procurement of 1042-234HYJ650932 Anhui Children's Hospital of Anhui Province Endoscopic surgery control system procurement project(1),Medical equipment & medicine,"Anhui Huanya International Tendering CO.,LTD. entrusted by the purchaser, invites sealed bids from eligible suppliers home and abroad for the supply of the following goods and/or service by way of International Competitive Bidding. The tender notice was released on www.chinab...",2023-08-23,New Tenders
